,Compound,Date,Negative,Neutral,News Source,Positive,Tweet Count,Tweet Text
0,0.34,Tue Mar 20 17:33:03 +0000 2018,0.102,0.738,BBC,0.16,1,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U"
1,0.0,Tue Mar 20 17:03:01 +0000 2018,0.0,1.0,BBC,0.0,2,"Un-bee-lievable! 🐝😍 Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH"
2,0.0,Tue Mar 20 16:05:04 +0000 2018,0.0,1.0,BBC,0.0,3,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi"
3,0.0,Tue Mar 20 15:33:03 +0000 2018,0.0,1.0,BBC,0.0,4,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y
4,0.4084,Tue Mar 20 15:03:02 +0000 2018,0.0,0.868,BBC,0.132,5,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL"
5,0.6369,Tue Mar 20 14:24:06 +0000 2018,0.0,0.741,BBC,0.259,6,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB
6,0.0,Tue Mar 20 14:03:04 +0000 2018,0.0,1.0,BBC,0.0,7,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR
7,0.2235,Tue Mar 20 13:16:25 +0000 2018,0.0,0.881,BBC,0.119,8,"RT @BBCWalesNews: 🎟🎞🍿Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3"
8,-0.4023,Tue Mar 20 13:02:01 +0000 2018,0.162,0.838,BBC,0.0,9,"People always have an opinion. 🙄😂 Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI"
9,0.6114,Tue Mar 20 11:03:23 +0000 2018,0.0,0.818,BBC,0.182,10,"From a spot of spring cleaning to rolling cheese down a hill... 🕸🧀🌱

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast"
10,-0.6369,Tue Mar 20 10:30:04 +0000 2018,0.271,0.636,BBC,0.093,11,"Sudan, the world's last surviving male northern white rhino has died after months of ill health. 💔🦏… https://t.co/BnYne3cI2L"
11,0.3642,Tue Mar 20 10:04:02 +0000 2018,0.0,0.827,BBC,0.173,12,"This #InternationalDayOfHappiness, let's all try to be a little more like @chessmartinez. 😊👏#LiveAtTheApollo 

https://t.co/VddL8zWJfS"
12,0.0,Tue Mar 20 09:49:33 +0000 2018,0.0,1.0,BBC,0.0,13,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe"
13,-0.3182,Tue Mar 20 09:49:23 +0000 2018,0.19,0.683,BBC,0.127,14,"RT @BBCEarth: Sudan’s death leaves just two females of the subspecies alive in the world 
https://t.co/kCpRCxFaFY"
14,0.25,Tue Mar 20 09:49:10 +0000 2018,0.087,0.78,BBC,0.133,15,RT @bbcthree: RuPaul is the first drag queen to get a Hollywood star. Sissy that Walk of Fame.  https://t.co/SmqOPQizh3 https://t.co/hWb1Xm…
15,0.0,Tue Mar 20 09:49:02 +0000 2018,0.0,1.0,BBC,0.0,16,"RT @BBCBreakfast: ❄️❄️BBRRR....Could it be the coldest day yet for the Spring Equinox?
Let us know what temp it is where you are today.  #S…"
16,0.4939,Tue Mar 20 09:32:02 +0000 2018,0.0,0.814,BBC,0.186,17,"Meet Bumblebee and Gnat, two adorable badger cubs being raised at an animal sanctuary. 😍
https://t.co/Ihami0VtL0"
17,0.0,Tue Mar 20 09:03:04 +0000 2018,0.0,1.0,BBC,0.0,18,Spring is here! But what is the #SpringEquinox? 🌺🌻🌸🌱https://t.co/RiWP3PC7Yo https://t.co/FIKocYFP6C
18,0.0,Tue Mar 20 08:25:06 +0000 2018,0.0,1.0,BBC,0.0,19,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ⭐️ https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL
19,0.0,Tue Mar 20 08:03:03 +0000 2018,0.0,1.0,BBC,0.0,20,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. 🏆… https://t.co/jv5wlpmlyT
20,-0.3818,Mon Mar 19 19:33:04 +0000 2018,0.11,0.89,BBC,0.0,21,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi"
21,0.1531,Mon Mar 19 18:33:05 +0000 2018,0.116,0.709,BBC,0.175,22,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi"
22,-0.1027,Mon Mar 19 18:03:01 +0000 2018,0.08,0.92,BBC,0.0,23,"😂📸 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4"
23,0.0,Mon Mar 19 17:30:08 +0000 2018,0.0,1.0,BBC,0.0,24,🎤Pop band @FifthHarmony have announced they're taking a break to pursue solo careers 🎶https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6
24,-0.7096,Mon Mar 19 17:00:05 +0000 2018,0.414,0.442,BBC,0.144,25,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC"
25,0.0,Mon Mar 19 16:33:29 +0000 2018,0.0,1.0,BBC,0.0,26,Here are the latest snow scenes from around the UK. ❄️📸 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C
26,0.0,Mon Mar 19 15:02:02 +0000 2018,0.0,1.0,BBC,0.0,27,'Flabbergasted'. 🎶This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE
27,0.0,Mon Mar 19 14:30:08 +0000 2018,0.0,1.0,BBC,0.0,28,"Meet the dancing slum kids tipped for stardom by Rihanna 🎶
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ"
28,0.6588,Mon Mar 19 13:44:55 +0000 2018,0.0,0.788,BBC,0.212,29,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! 🙌 

Yesterday we did an amazing 431 million steps – can we do even better…"
29,-0.3412,Mon Mar 19 13:03:04 +0000 2018,0.112,0.888,BBC,0.0,30,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA"
30,0.0,Mon Mar 19 12:55:17 +0000 2018,0.0,1.0,BBC,0.0,31,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i
31,0.0,Mon Mar 19 12:30:05 +0000 2018,0.0,1.0,BBC,0.0,32,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX
32,-0.0516,Mon Mar 19 11:50:58 +0000 2018,0.107,0.893,BBC,0.0,33,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz
33,0.4588,Mon Mar 19 11:33:04 +0000 2018,0.0,0.857,BBC,0.143,34,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc"
34,0.0,Mon Mar 19 10:53:19 +0000 2018,0.0,1.0,BBC,0.0,35,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…"
35,0.5106,Mon Mar 19 10:33:03 +0000 2018,0.0,0.837,BBC,0.163,36,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj
36,-0.3818,Mon Mar 19 09:58:24 +0000 2018,0.191,0.809,BBC,0.0,37,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu"
37,0.4199,Mon Mar 19 09:58:15 +0000 2018,0.0,0.843,BBC,0.157,38,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE"
38,0.0,Mon Mar 19 09:58:10 +0000 2018,0.0,1.0,BBC,0.0,39,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP"
39,0.128,Mon Mar 19 09:57:58 +0000 2018,0.079,0.789,BBC,0.133,40,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…
40,0.3642,Mon Mar 19 09:32:02 +0000 2018,0.0,0.848,BBC,0.152,41,"'Who wants a normal life?' We should all be a little more like @chessmartinez. 👏💖 #LiveAtTheApollo

https://t.co/VddL8zWJfS"
41,0.0,Mon Mar 19 09:27:50 +0000 2018,0.0,1.0,BBC,0.0,42,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…"
42,0.5994,Mon Mar 19 08:45:02 +0000 2018,0.0,0.738,BBC,0.262,43,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw
43,-0.296,Mon Mar 19 08:02:00 +0000 2018,0.109,0.891,BBC,0.0,44,"🤔 Should we still be worried about the hole in the ozone layer?

🌤 @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t"
44,0.0,Sun Mar 18 20:30:11 +0000 2018,0.0,1.0,BBC,0.0,45,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2"
45,0.0258,Sun Mar 18 20:03:04 +0000 2018,0.086,0.824,BBC,0.09,46,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb
46,0.5994,Sun Mar 18 19:33:04 +0000 2018,0.0,0.803,BBC,0.197,47,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ"
47,-0.5994,Sun Mar 18 18:44:02 +0000 2018,0.163,0.837,BBC,0.0,48,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t"
48,0.204,Sun Mar 18 18:34:14 +0000 2018,0.077,0.772,BBC,0.151,49,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…"
49,0.7331,Sun Mar 18 17:18:12 +0000 2018,0.0,0.66,BBC,0.34,50,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b"
50,0.0,Sun Mar 18 17:04:03 +0000 2018,0.0,1.0,BBC,0.0,51,"🍎🗑 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr"
51,0.0,Sun Mar 18 16:33:17 +0000 2018,0.0,1.0,BBC,0.0,52,"❤️️📸Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

👉… https://t.co/LodRrr27fd"
52,0.0,Sun Mar 18 15:41:04 +0000 2018,0.0,1.0,BBC,0.0,53,"🤰 A doctor explains why you can get pregnant and give birth without having a baby bump. 
👉 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL"
53,0.0772,Sun Mar 18 14:33:07 +0000 2018,0.0,0.947,BBC,0.053,54,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…
54,0.0,Sun Mar 18 14:28:23 +0000 2018,0.0,1.0,BBC,0.0,55,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…
55,0.0,Sun Mar 18 14:18:01 +0000 2018,0.0,1.0,BBC,0.0,56,📱🚗 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW
56,0.6369,Sun Mar 18 14:08:37 +0000 2018,0.0,0.682,BBC,0.318,57,RT @BBC6Music: ✏️ Which song has the greatest opening line?
57,0.3182,Sun Mar 18 13:45:03 +0000 2018,0.0,0.905,BBC,0.095,58,🎤Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG
58,0.0,Sun Mar 18 13:00:08 +0000 2018,0.0,1.0,BBC,0.0,59,"🍔😲 Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM"
59,0.0,Sun Mar 18 12:29:50 +0000 2018,0.0,1.0,BBC,0.0,60,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o
60,-0.4588,Sun Mar 18 11:43:04 +0000 2018,0.167,0.833,BBC,0.0,61,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
👉… https://t.co/8zSBXQkLvy"
61,0.4939,Sun Mar 18 10:30:04 +0000 2018,0.0,0.826,BBC,0.174,62,"🍞🥖 Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD"
62,-0.4215,Sun Mar 18 10:00:08 +0000 2018,0.259,0.741,BBC,0.0,63,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK"
63,0.0,Sun Mar 18 09:30:03 +0000 2018,0.0,1.0,BBC,0.0,64,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB"
64,0.656,Sun Mar 18 09:19:33 +0000 2018,0.061,0.727,BBC,0.212,65,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun 🐶❄️

https://…"
65,0.0,Sun Mar 18 09:10:02 +0000 2018,0.0,1.0,BBC,0.0,66,"RT @bbc5live: The beast from the east is back ❄️🌨️

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…"
66,0.0,Sat Mar 17 20:02:01 +0000 2018,0.0,1.0,BBC,0.0,67,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2"
67,0.0,Sat Mar 17 19:21:02 +0000 2018,0.0,1.0,BBC,0.0,68,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs
68,0.0,Sat Mar 17 18:32:01 +0000 2018,0.0,1.0,BBC,0.0,69,"Ouch! 😂🔥@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj"
69,0.3612,Sat Mar 17 18:03:04 +0000 2018,0.0,0.857,BBC,0.143,70,"🐜1⃣2⃣3⃣Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt"
70,0.3182,Sat Mar 17 17:30:07 +0000 2018,0.0,0.901,BBC,0.099,71,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk
71,0.4767,Sat Mar 17 17:00:08 +0000 2018,0.0,0.785,BBC,0.215,72,"🎓📚 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
👉… https://t.co/z8x5mqqKoW"
72,0.0,Sat Mar 17 16:39:39 +0000 2018,0.0,1.0,BBC,0.0,73,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6
73,0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,BBC,0.0,74,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ"
74,0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,BBC,0.0,75,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…"
75,0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,BBC,0.301,76,⛷❤️ George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY
76,0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,BBC,0.143,77,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…"
